市场代码,合约代码,Date,最新,持仓,增仓,成交额,Volume,开仓,平仓,成交类型,方向,买一价,Close,买一量,卖一量
DC,a2403,2024-01-29 10:13:21.846,4649.0000,188692,3,139460.0000,3,3,0,双开,S,4649.0000,4650.0000,48,42
DC,a2403,2024-01-29 10:13:22.207,4649.0000,188693,1,46490.0000,1,1,0,双开,S,4649.0000,4650.0000,53,37
DC,a2403,2024-01-29 10:13:23.731,4649.0000,188696,3,139470.0000,3,3,0,双开,S,4649.0000,4650.0000,45,37
DC,a2403,2024-01-29 10:13:24.070,4649.0000,188700,4,185960.0000,4,4,0,双开,S,4649.0000,4650.0000,41,37
DC,a2403,2024-01-29 10:13:24.705,4650.0000,188704,4,930000.0000,20,12,8,多开,B,4649.0000,4650.0000,41,17
DC,a2403,2024-01-29 10:13:25.162,4650.0000,188706,2,418460.0000,9,5,4,空开,S,4650.0000,4651.0000,1,26
DC,a2403,2024-01-29 10:13:25.689,4650.0000,188706,0,139500.0000,3,1,2,多换,S,4650.0000,4651.0000,11,29
DC,a2403,2024-01-29 10:13:29.176,4650.0000,188696,-10,465000.0000,10,0,10,双平,S,4650.0000,4651.0000,6,26
DC,a2403,2024-01-29 10:13:30.329,4650.0000,188697,1,511600.0000,11,6,5,空开,S,4650.0000,4651.0000,24,15
DC,a2403,2024-01-29 10:13:31.698,4650.0000,188696,-1,46500.0000,1,0,1,双平,S,4650.0000,4651.0000,25,15
DC,a2403,2024-01-29 10:13:32.660,4650.0000,188694,-2,186000.0000,4,1,3,多平,S,4650.0000,4651.0000,4,26
DC,a2403,2024-01-29 10:13:33.777,4650.0000,188695,1,232500.0000,5,3,2,多开,B,4649.0000,4650.0000,87,6
DC,a2403,2024-01-29 10:13:36.564,4650.0000,188696,1,46500.0000,1,1,0,双开,B,4649.0000,4650.0000,86,9
DC,a2403,2024-01-29 10:13:38.168,4649.0000,188706,10,464990.0000,10,10,0,双开,S,4649.0000,4651.0000,85,30
DC,a2403,2024-01-29 10:13:42.732,4649.0000,188711,5,232450.0000,5,5,0,双开,S,4649.0000,4650.0000,66,1
DC,a2403,2024-01-29 10:13:43.244,4650.0000,188712,1,46500.0000,1,1,0,双开,B,4649.0000,4650.0000,63,11
DC,a2403,2024-01-29 10:13:46.746,4650.0000,188714,2,558000.0000,12,7,5,空开,S,4650.0000,4651.0000,18,27
DC,a2403,2024-01-29 10:13:50.741,4650.0000,188716,2,93000.0000,2,2,0,双开,S,4650.0000,4651.0000,19,32
